vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-151792;1500390;DEPOT;11502053;4.5;1;0.5;0;D33LAT;0000001087;4.5;20150915;20151015;1510251217889;0;2.25;2.25;0;D33LAT-10900871;0.2;4.5;0;LANTERNE DECO MARINE ;C
D33LAT-151794;1500709;DEPOT;11503562;1;1;0.5;0;D33LAT;0000001087;1;20150915;20151015;1510251216749;0;0.5;0.5;0;D33LAT-11400970;0.2;1;0;VASE POISSON BLEU JAUNE;C
D33LAT-151795;1500709;DEPOT;11503562;1;1;0.5;0;D33LAT;0000001087;1;20150915;20151015;1510251216749;0;0.5;0.5;0;D33LAT-11400970;0.2;1;0;VASE POISSON BLEU JAUNE;C
D33LAT-151796;1500873;DEPOT;11504346;3.75;1;0.5;0;D33LAT;0000001087;3.75;20150915;20151015;15102512171144;0;1.88;1.88;0;D33LAT-10001228;0.2;3.75;0;SERIE DE 3 BOUGEOIRS ;C
D33LAT-151797;1500369;DEPOT;11501913;4;1;0.5;0;D33LAT;0000001087;4;20150915;20151015;1510251217376;0;2;2;0;D33LAT-11401095;0.2;4;0;COUPLE DE STATUES ANTILOPES;C
D33LAT-151799;1500873;DEPOT;11504346;3.75;1;0.5;0;D33LAT;0000001087;3.75;20150915;20151015;15102512171144;0;1.88;1.88;0;D33LAT-10001228;0.2;3.75;0;SERIE DE 3 BOUGEOIRS ;C
D33LAT-151800;1500369;DEPOT;11501908;3;1;0.5;0;D33LAT;0000001087;3;20150915;20151015;1510251217376;0;1.5;1.5;0;D33LAT-11401095;0.2;3;0;BAROMETRE BOIS DECOR DORÉ;C
D33LAT-151801;1501348;DEPOT;11506427;2;1;0.38;0;D33LAT;0000001088;2;20150915;20151015;1510141958606;1.24;1.24;0.76;0;D33LAT-10600207;0.2;2;1;A320 PILE BOUTON ;C
D33LAT-151803;000179;DEPOT;000179-2;15;2;0.5;0;D33LAT;0000001089;30;20150915;20151015;1510132335703;15;15;15;0;D33LAT-10900091;0.2;30;1;Chaise blanche ;C
D33LAT-151804;1502127;DEPOT;11510350;3;3;0.38;0;D33LAT;0000001090;9;20150915;20151015;1510141958611;5.58;5.58;3.42;0;D33LAT-10600207;0.2;9;1;D314 LOUPE DE LECTURE N2;C
D33LAT-151811;000179;DEPOT;000179-3;5;1;0.5;0;D33LAT;0000001094;5;20150915;20151015;1510132335703;2.5;2.5;2.5;0;D33LAT-10900091;0.2;5;1;Lot 3 toiles imprime
plume;C
D33LAT-151815;000172;DEPOT;000172-14;30;1;0.5;0;D33LAT;0000001097;30;20150915;20151015;1510132335447;15;15;15;0;D33LATPO50572;0.2;30;1;SOUPIERE VB + PLAT
DECO ROSE;C
D33LAT-151816;1502693;DEPOT;11512971;17;1;0.5;0;D33LAT;0000001098;17;20150915;20151015;1510132335194;8.5;8.5;8.5;0;D33LAT-11400680;0.2;17;1;POT DE FLEURS PM ROND+COUPE;C
D33LAT-151817;1502546;DEPOT;11512178;127.5;1;0.489215;0;D33LAT;0000001099;127.5;20150915;20151015;1510132335477;65.125;65.13;62.37;0;D33LAT-10700275;0.2;127.5;1;ARMOIRE 2P CHENE PENDERIE;C
D33LAT-151671;000097;DEPOT;000097-2;10;1;0.5;0;D33LAT;0000001014;10;20150915;20151015;1510132335237;5;5;5;0;D33LAT-11500591;0.2;10;1;LAMPE CHEVET SAUMON;C
D33LAT-151672;1502897;DEPOT;11513961;15;15;0.472222;0;D33LAT;0000001015;225;20150915;20151015;1510132334879;118.75;118.75;106.25;0;D33LAT-11500688;0.2;225;1;BAC DE TRANSPORT 65L +COUVERCLE;C
D33LAT-151674;000156;DEPOT;000156-33;15;1;0.4;0;D33LAT;0000001016;15;20150915;20151015;1510141958268;9;9;6;0;D33LAT-11300406;0.2;15;1;VASE CRISTAL PM MA;C
D33LAT-151675;1501370;DEPOT;11506589;36;1;0.4;0;D33LAT;0000001017;36;20150915;20151015;1510132334639;21.6;21.6;14.4;0;D33LAT-11200973;0.2;36;1;TABLE ST LXVI ACAJOU + 2 ALL;C
D33LAT-151676;1502931;DEPOT;11514138;10;2;0.4;0;D33LAT;0000001017;20;20150915;20151015;1510132334126;12;12;8;0;D33LAT-11200973;0.2;20;1;CHAISE PAILLE ;C
D33LAT-151680;000156;DEPOT;000156-37;5;1;0.4;0;D33LAT;0000001018;5;20150915;20151015;1510141958268;3;3;2;0;D33LAT-11300406;0.2;5;1;ASSIETTE DECO ANC;C
D33LAT-151681;000156;DEPOT;000156-37;5;1;0.4;0;D33LAT;0000001018;5;20150915;20151015;1510141958268;3;3;2;0;D33LAT-11300406;0.2;5;1;ASSIETTE DECO ANC;C
D33LAT-151682;000156;DEPOT;000156-65;8;1;0.4;0;D33LAT;0000001018;8;20150915;20151015;1510141958268;4.8;4.8;3.2;0;D33LAT-11300406;0.2;8;1;POT BONZAI FLEURI;C
D33LAT-151683;1502872;DEPOT;11513791;75;1;0.5;0;D33LAT;0000001019;75;20150915;20151015;1510132335191;37.5;37.5;37.5;0;D33LAT-10100809;0.2;75;1;PARC BEBE NEW BABY NEUF;C
D33LAT-151689;1503086;DEPOT;11515039;5;1;0.5;0;D33LAT;0000001022;5;20150915;20151015;1510132335725;2.5;2.5;2.5;0;D33LAT-10900091;0.2;5;1;RANGE POELE METAL ;C
D33LAT-151690;1502549;DEPOT;11512188;3;1;0.4;0;D33LAT;0000001022;3;20150915;20151015;1510141958355;1.53;1.53;1.02;0;D33LAT-11300406;0.2;2.55;1;ACCESSOIRE CUP CAKE ;C
D33LAT-151691;1502971;DEPOT;11514558;15;1;0.2;0;D33LAT;0000001023;15;20150915;20151015;1510132334909;12;12;3;0;D33LAT-19800369;0.2;15;1;PLATEAU ECRITOIRE BLANC GRIS;C
D33LAT-151693;1501402;DEPOT;11506781;40;1;0.5;0;D33LAT;0000001025;40;20150915;20151015;1510132335827;20;20;20;0;D33LAT-11500354;0.2;40;1;BANQUETTE 2P ANC TISSU ROSE;C
D33LAT-151694;1501848;DEPOT;11508944;70;1;0.5;0;D33LAT;0000001025;70;20150915;20151015;1510141958520;35;35;35;0;D33LAT-10400937;0.2;70;1;BANQUETTE TAPISSEE FEUILLES;C
D33LAT-151695;1502183;DEPOT;11510505;52.5;1;0.5;0;D33LAT;0000001025;52.5;20150915;20151015;15102512171143;0;26.25;26.25;0;D33LAT-10601127;0.2;52.5;0;FAUTEUIL ST NIII ;C
D33LAT-151697;000089;DEPOT;000089-36;15;1;0.4;0;D33LAT;0000001027;15;20150915;20151015;1510132335758;9;9;6;0;D33LAT-19700084;0.2;15;1;Radiateur supra;C
D33LAT-151699;1503019;DEPOT;11514693;6;1;0.4;0;D33LAT;0000001028;6;20150915;20151015;1510141958333;3.6;3.6;2.4;0;D33LAT-11300406;0.2;6;1;STATUETTE HOMME PIPE ;C
D33LAT-151700;1500452;DEPOT;11502300;2.9;1;0.4;0;D33LAT;0000001029;2.9;20150915;20151015;1510132335446;1.74;1.74;1.16;0;D33LAT-11200973;0.2;2.9;1;DESSERTE INFORMATIQUE COULEUR BOULEAU;C
D33LAT-151701;000156;DEPOT;000156-70;8;1;0.4;0;D33LAT;0000001030;8;20150915;20151015;1510141958268;4.8;4.8;3.2;0;D33LAT-11300406;0.2;8;1;Plat coq anc ;C
D33LAT-151705;1501580;DEPOT;11507534;16.5;1;0.5;0;D33LAT;0000001034;16.5;20150915;20151015;1510132335490;8.25;8.25;8.25;0;D33LAT-11500404;0.2;16.5;1;CHEVET CHENE T/N ;C
D33LAT-151708;000092;DEPOT;000092-9;10;1;0.5;0;D33LAT;0000001037;10;20150915;20151015;1510132335766;5;5;5;0;D33LAT-11401126;0.2;10;1;Lampe de bureaux noir;C
D33LAT-151709;000079;DEPOT;000079-12;5;1;0.5;0;D33LAT;0000001037;5;20150915;20151015;1510132335791;2.5;2.5;2.5;0;D33LAT-10100043;0.2;5;1;Lampe pm couleurs;C
D33LAT-151710;1503051;DEPOT;11514890;10;1;0.5;0;D33LAT;0000001037;10;20150915;20151015;1510251216485;0;5;5;0;D33LAT-11500415;0.2;10;0;SAC POCHETTE NOIRE ;C
D33LAT-151711;000089;DEPOT;000089-11;10;1;0.4;0;D33LAT;0000001038;10;20150915;20151015;1510132335758;6;6;4;0;D33LAT-19700084;0.2;10;1;Bonbonniere rect 
blanche
;C
D33LAT-151713;000156;DEPOT;000156-57;7;1;0.4;0;D33LAT;0000001038;7;20150915;20151015;1510141958268;4.2;4.2;2.8;0;D33LAT-11300406;0.2;7;1;BONBONNIERE PM 
BLEU DORE;C
D33LAT-151714;1500653;DEPOT;11503304;30;1;0.5;0;D33LAT;0000001039;30;20150915;20151015;1510251217118;0;15;15;0;D33LAT-11500162;0.2;30;0;TABLE RONDE MERISIER MASSIF 115 CM+ ALL 45;C
