vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-154533;1502942;DEPOT;11514166;8.5;1;0.5;0;D33LAT;0000002714;8.5;20151014;20151115;15102512171201;0;4.25;4.25;0;D33LAT-10100253;0.2;8.5;0;LOT DE CANARDS ETAIN ;C
D33LAT-154536;000172;DEPOT;000172-4;200;1;0.475;0;D33LAT;0000002715;200;20151014;20151115;151025121743;0;105;95;0;D33LATPO50572;0.2;200;0;ARMOIRE NOYER 2P +CLE F6

 ;C
D33LAT-154537;000395;DEPOT;000395-16;120;1;0.491666;0;D33LAT;0000002716;120;20151014;20151115;1510251217257;0;61;59;0;D33LAT-10000173;0.2;120;0;PAIRE DE CHEVETS CHENE 1N

;C
D33LAT-154538;000246;DEPOT;000246-1;80;1;0.5;0;D33LAT;0000002717;80;20151014;20151115;1510251217177;0;40;40;0;D33LATMO50620;0.2;80;0;CLASSEUR A RIDEAU NOIR + CLE C3;C
D33LAT-154539;000184;DEPOT;000184-13;6;1;0.2;0;D33LAT;0000002718;6;20151014;20151115;15102512171084;0;4.8;1.2;0;D33LAT-19800369;0.055;6;0;Livre marc levy ;C
D33LAT-154540;1503019;DEPOT;11514728;5.1;1;0.4;0;D33LAT;0000002719;5.1;20151014;20151115;151025121761;0;3.06;2.04;0;D33LAT-11300406;0.2;5.1;0;JERRYCAN PM ROUGE ;C
D33LAT-154541;1502238;DEPOT;11510736;3;1;0.2;0;D33LAT;0000002720;3;20151014;20151115;15102512171200;0;2.4;0.6;0;D33LAT-19800369;0.2;3;0;CD ;C
D33LAT-154542;000330;DEPOT;000330-2;35;1;0.5;0;D33LAT;0000002721;35;20151014;20151115;1510251217299;0;17.5;17.5;0;D33LATBL50642;0.2;35;0;Convecteur 1250w thermor
rayonnant;C
D33LAT-154543;000360;DEPOT;000360-2;30;3;0.5;0;D33LAT;0000002721;90;20151014;20151115;1510251217944;0;45;45;0;D33LAT70001014;0.2;90;0;Spot ;C
D33LAT-154546;1501801;DEPOT;11508662;150;1;0.483333;0;D33LAT;0000002722;150;20151014;20151115;1510251217176;0;77.5;72.5;0;D33LAT-19901285;0.2;150;0;TABLE ANGLAIS 2 VOLETS ACAJOU;C
D33LAT-154547;000414;DEPOT;000414-1;1490;1;0.4;0;D33LAT;0000002723;1490;20151014;20151115;1510251217972;0;894;596;0;D33LAT-19700084;0.2;1490;0;Paire fauteuils cuir inox ;C
