vente_article_id;contrat_num;article_type_code;reference_article_magasin;prix_vente_final;qte_vente;taux_commission;prix_net_deposant;magasin_code;vente_num;prix_vente_total;date_cloture_vente;date_reglement;reglement_deposant_id;prix_reglee;prix_deposant;prix_com;taux_assurance;contact_num;taux_tva;prix_a_reglee;reglee;libelle;STATUS
D33LAT-153672;1501348;DEPOT;11506427;2;1;0.38;0;D33LAT;0000002226;2;20151005;20151115;1510191933312;0;1.24;0.76;0;D33LAT-10600207;0.2;2;0;C
D33LAT-153674;1502038;DEPOT;11509815;27.5;1;0.5;0;D33LAT;0000002227;27.5;20151005;20151115;151019193313;0;13.75;13.75;0;D33LAT-11200321;0.2;27.5;0;C
D33LAT-153675;1502944;DEPOT;11514210;63.75;1;0.5;0;D33LAT;0000002228;63.75;20151005;20151115;151019193312;0;31.88;31.88;0;D33LAT-10601371;0.2;63.75;0;C
D33LAT-153676;000123;DEPOT;000123-8;30;1;0.5;0;D33LAT;0000002229;30;20151005;20151115;1510191933522;0;15;15;0;D33LAT-11400447;0.2;30;0;C
D33LAT-153677;1501339;DEPOT;11506379;11.25;1;0.5;0;D33LAT;0000002230;11.25;20151005;20151115;1510072131271;0;5.63;5.63;0;D33LAT-11500343;0.2;11.25;0;C
D33LAT-153679;1500523;DEPOT;11502594;1;1;0.4;0;D33LAT;0000002232;1;20151005;20151115;1510191933266;0;0.6;0.4;0;D33LAT-19700084;0.2;1;0;C
D33LAT-153680;000096;DEPOT;000096-24;8;1;0.4;0;D33LAT;0000002233;8;20151005;20151115;151019193318;0;4.8;3.2;0;D33LAT-11300406;0.2;8;0;C
D33LAT-153681;1502549;DEPOT;11512188;3;1;0.4;0;D33LAT;0000002234;3;20151005;20151115;151019193350;0;1.8;1.2;0;D33LAT-11300406;0.2;3;0;C
D33LAT-153682;1501588;DEPOT;11507648;75;1;0.01;0;D33LAT;0000002235;75;20151005;20151115;151019193360;0;74.25;0.75;0;D33LAT-11300098;0.2;75;0;C
D33LAT-153683;1501588;DEPOT;11507647;75;1;0.01;0;D33LAT;0000002235;75;20151005;20151115;151019193360;0;74.25;0.75;0;D33LAT-11300098;0.2;75;0;C
D33LAT-153688;1502127;DEPOT;11510322;3;1;0.38;0;D33LAT;0000002238;3;20151006;20151115;1510191933572;0;1.86;1.14;0;D33LAT-10600207;0.2;3;0;C
D33LAT-153689;1501588;DEPOT;11507648;75;2;0.01;0;D33LAT;0000002239;150;20151006;20151115;151019193360;0;148.5;1.5;0;D33LAT-11300098;0.2;150;0;C
D33LAT-153690;1501677;DEPOT;11508049;6;2;0.5;0;D33LAT;0000002239;12;20151006;20151115;1510072131526;0;6;6;0;D33LAT-11500401;0.2;12;0;C
D33LAT-153692;1501431;DEPOT;11506887;2;1;0.4;0;D33LAT;0000002240;2;20151006;20151115;151019193310;0;1.2;0.8;0;D33LAT-11300406;0.2;2;0;C
D33LAT-153693;1502419;DEPOT;11511546;105;1;0.497619;0;D33LAT;0000002241;105;20151006;20151115;151007213114;0;52.75;52.25;0;D33LAT-11500592;0.2;105;0;C
D33LAT-153696;1502549;DEPOT;11512304;1;3;0.4;0;D33LAT;0000002243;3;20151006;20151115;151019193350;0;1.8;1.2;0;D33LAT-11300406;0.2;3;0;C
D33LAT-153697;000203;DEPOT;000203-2;30;1;0.5;0;D33LAT;0000002244;30;20151006;20151115;1510072131525;0;15;15;0;D33LAT-10800665;0.2;30;0;C
D33LAT-153700;000295;DEPOT;000295-3;120;1;0.491666;0;D33LAT;0000002246;120;20151006;20151115;1510072131269;0;61;59;0;D33LATLE50649;0.2;120;0;C
D33LAT-153702;000091;DEPOT;000091-4;10;1;0.5;0;D33LAT;0000002247;10;20151006;20151115;1510191933521;0;5;5;0;D33LAT140001302;0.2;10;0;C
